id_resep,nama_resep,daftar_bahan,waktu_masak,kategori,list_bahan,vector_bahan
R0001,ayam goreng serabut,"ayam, garam, kunyit, jahe, kemiri, bawang putih, lengkuas, ketumbar, pala",90,ayam,"['jahe', 'pala', 'ketumbar', 'garam', 'ayam', 'kemiri', 'bawang putih', 'kunyit', 'lengkuas']","[0.  0.  0.  0.  3.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.1 0.  1.5 0.
 1.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]"
R0002,ayam lada hitam,"ayam, bawang putih, kecap ikan, saos tiram, minyak wijen, garam, lada, telur, tepung terigu, tepung maizena",45,ayam,"['kecap ikan', 'minyak wijen', 'garam', 'saos tiram', 'tepung terigu', 'ayam', 'lada', 'bawang putih', 'telur', 'tepung maizena']","[0.  0.  0.  0.  3.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.1 0.  0.  0.9 0.  0.9 0.  0.  0.  0.  0.  0.  0.  0. ]"
R0003,opor ayam,"ayam, air, daun salam, garam, bawang merah, bawang putih, kemiri, kunyit, jahe, serai, daun jeruk, santan, gula pasir, minyak goreng, bawang goreng",60,ayam,"['minyak goreng', 'daun salam', 'jahe', 'garam', 'bawang goreng', 'ayam', 'serai', 'bawang merah', 'santan', 'gula pasir', 'kemiri', 'air', 'bawang putih', 'daun jeruk', 'kunyit']","[0.  0.  0.2 0.  3.  0.  0.  0.  0.2 0.1 0.1 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  1.5
 0.  0.  0.1 0.  0.  0.  0.1 0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  1.5 0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]"
R0004,tongseng ayam,"ayam, kol, tomat, cabai rawit, daun bawang, bawang merah, bawang putih, daun salam, daun jeruk, serai, lengkuas, gula merah, santan, air, kecap manis, madu, garam, gula pasir, ketumbar, merica, kemiri, jahe, kunyit",60,ayam,"['jahe', 'ayam', 'cabai rawit', 'tomat', 'kemiri', 'daun salam', 'ketumbar', 'kol', 'gula pasir', 'santan', 'air', 'lengkuas', 'garam', 'serai', 'merica', 'bawang merah', 'madu', 'daun jeruk', 'daun bawang', 'kecap manis', 'gula merah', 'bawang putih', 'kunyit']","[0.  0.  0.2 0.  3.  0.  0.  0.  0.  0.1 0.1 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.4 1.5 0.  0.  1.5
 0.  0.  0.1 0.  0.  0.1 0.1 0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  1.5 0.  0.  0.1 1.5 1.5 0.
 1.5 0.  0.2 0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0. ]"
R0005,ayam asam manis,"ayam, bumbu marinasi, tepung maizena, air, saos tomat, kecap asin, cuka, gula pasir, lada, garam, cabai hijau, bawang bombay",30,ayam,"['cuka', 'garam', 'ayam', 'bumbu marinasi', 'kecap asin', 'gula pasir', 'bawang bombay', 'lada', 'saos tomat', 'air', 'cabai hijau', 'tepung maizena']","[0.  0.  0.2 0.  3.  0.  0.  0.4 0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.
 0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.1 0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.9 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]"
R0006,kalio daging sapi,"daging sapi, santan, air, minyak goreng, kaldu sapi, garam, gula merah, adas wangi, kayu manis, pala, bunga lawang, cengkeh, jinten, kapulaga, kelapa, kemiri, cabai merah, cabai rawit, bawang merah, bawang putih, jahe, lengkuas, daun salam, daun jeruk, serai",150,daging sapi,"['minyak goreng', 'jahe', 'cabai rawit', 'daging sapi', 'kemiri', 'kelapa', 'cengkeh', 'kapulaga', 'daun salam', 'santan', 'air', 'cabai merah', 'bunga lawang', 'lengkuas', 'garam', 'jinten', 'serai', 'bawang merah', 'kayu manis', 'daun jeruk', 'adas wangi', 'pala', 'gula merah', 'kaldu sapi', 'bawang putih']","[0.  1.5 0.2 0.  0.  0.  0.  0.  0.  0.1 0.1 0.  0.  0.  0.  0.  0.  0.
 0.  0.4 0.  0.  0.  0.  0.1 0.1 1.5 0.  0.  0.  3.  0.  1.5 0.  0.  1.5
 0.  0.  0.1 0.  0.  0.1 0.  0.  0.  0.  1.5 0.  0.  0.  1.5 0.  0.  0.
 0.2 0.  1.5 1.5 0.  0.  0.  0.  0.  1.5 0.  1.5 0.  0.  0.  0.  0.  0.
 1.5 0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  1.5 0.  0.  0.  0.  0.
 0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]"
R0007,gulai daging,"daging sapi, santan, daun salam, daun kunyit, bawang merah, bawang putih, kemiri, kunyit, jahe, cabai merah, bubuk gulai, lengkuas, serai, daun jeruk, garam, gula, penyedap rasa",90,daging sapi,"['daun salam', 'penyedap rasa', 'jahe', 'garam', 'serai', 'bawang merah', 'santan', 'daging sapi', 'kemiri', 'bawang putih', 'daun kunyit', 'cabai merah', 'bubuk gulai', 'gula', 'daun jeruk', 'kunyit', 'lengkuas']","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.1 0.  0.  0.2 0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  3.  0.  1.5 1.5 0.  1.5
 0.  0.  0.1 0.1 0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  1.5 0.
 1.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.
 0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]"
R0008,rawon daging sapi,"daging sapi, bumbu rawon, air, serai, daun jeruk, daun bawang, taoge, telur, jeruk nipis, bawang goreng, minyak goreng",40,daging sapi,"['minyak goreng', 'jeruk nipis', 'daun bawang', 'bawang goreng', 'serai', 'taoge', 'bumbu rawon', 'daging sapi', 'air', 'telur', 'daun jeruk']","[0.  0.  0.2 0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.2 0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.4 1.5 0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  1.5
 0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]"
R0009,sapi lada hitam,"daging sapi, paprika, bawang bombay, kecap manis, kecap asin, lada, tepung maizena, minyak goreng, garam, saos tiram, minyak wijen, saos tomat, kaldu",60,daging sapi,"['minyak goreng', 'minyak wijen', 'garam', 'saos tiram', 'kecap asin', 'kecap manis', 'bawang bombay', 'daging sapi', 'lada', 'saos tomat', 'kaldu', 'tepung maizena', 'paprika']","[0.  0.  0.  0.  0.  0.  0.  0.4 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  0.  0.  0.
 0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2
 0.  0.  0.  0.  0.2 0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1
 0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.2 0.  0.  0.  0.4 0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.2 0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.9 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]"
R0010,rendang,"daging sapi, santan, daun jeruk, daun salam, serai, bumbu rendang, bawang merah, bawang putih, cabai merah, cabai rawit",180,daging sapi,"['daun salam', 'serai', 'cabai rawit', 'santan', 'bawang merah', 'daging sapi', 'bawang putih', 'cabai merah', 'daun jeruk', 'bumbu rendang']","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.1 0.  0.  0.  0.  0.  0.  0.2
 0.  0.  0.  0.  0.  0.  0.1 0.1 0.  0.  0.  0.  3.  0.  1.5 0.  0.  1.5
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]"
